epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.299,1.6223,4.92283,1.35663,0.74945,0.17982,0.42891,0.22385,1.88773,6.43471,1.48778,0.0807698,0.000392453,0.000392453
2,751.711,1.56127,3.15043,1.35377,0.73202,0.60428,0.69477,0.41797,1.46405,2.96831,1.26294,0.0611695,0.000792147,0.000792147
3,1121.46,1.5718,2.87429,1.38454,0.71534,0.73629,0.72302,0.46495,1.35593,2.76945,1.21845,0.041568,0.00119062,0.00119062
4,1465.9,1.58681,2.83664,1.36706,0.68511,0.71714,0.71976,0.45979,1.44895,2.84917,1.3022,0.0219643,0.00158693,0.00158693
5,1815.17,1.5769,2.71803,1.39078,0.76155,0.67466,0.71693,0.43206,1.53347,2.96497,1.41599,0.00235755,0.00198019,0.00198019
6,2157.07,1.55429,2.56626,1.35737,0.90095,0.69076,0.79479,0.41245,1.88991,2.53816,1.47924,0.00198079,0.00198079,0.00198079
7,2540.64,1.56587,2.59706,1.38596,0.8642,0.73884,0.81564,0.47544,1.63689,2.25949,1.35781,0.00197237,0.00197237,0.00197237
8,2951.42,1.51569,2.48512,1.34198,0.9309,0.75477,0.83478,0.54804,1.34289,2.29532,1.20302,0.00196246,0.00196246,0.00196246
9,3290.97,1.49845,2.36927,1.31978,0.92519,0.76177,0.86155,0.55921,1.34773,2.36881,1.21151,0.00195106,0.00195106,0.00195106
10,3629.96,1.47515,2.27841,1.30831,0.87869,0.7991,0.84845,0.56584,1.28054,2.03788,1.1799,0.0019382,0.0019382,0.0019382
11,3969.07,1.46589,2.31372,1.31147,0.92642,0.84249,0.89532,0.57783,1.3422,1.82132,1.15701,0.00192389,0.00192389,0.00192389
12,4308.27,1.4519,2.20496,1.29163,0.92073,0.78726,0.85912,0.52394,1.49007,2.04859,1.25974,0.00190815,0.00190815,0.00190815
13,4645.21,1.49544,2.35694,1.32059,0.90931,0.80331,0.87367,0.53989,1.44685,1.9039,1.24105,0.00189102,0.00189102,0.00189102
14,4984.33,1.43282,2.14756,1.2916,0.96198,0.84136,0.90209,0.57602,1.38788,1.71278,1.20026,0.00187251,0.00187251,0.00187251
15,5324.58,1.39144,2.01443,1.25951,0.93244,0.82461,0.88754,0.57776,1.3075,1.83155,1.169,0.00185265,0.00185265,0.00185265
16,5666,1.42508,2.11674,1.27011,0.90469,0.79058,0.87544,0.59629,1.29533,1.815,1.17434,0.00183149,0.00183149,0.00183149
17,6007.15,1.45241,2.13619,1.28895,0.89686,0.83528,0.88519,0.5942,1.27266,1.68806,1.14367,0.00180904,0.00180904,0.00180904
18,6350.12,1.39562,2.03632,1.25745,0.95794,0.82343,0.90214,0.53666,1.5163,1.77532,1.22662,0.00178534,0.00178534,0.00178534
19,6689.07,1.39459,2.04414,1.26396,0.90102,0.81714,0.90698,0.59644,1.3024,1.86662,1.12657,0.00176043,0.00176043,0.00176043
20,7028.39,1.3836,1.99783,1.23274,0.96317,0.83376,0.904,0.6049,1.24178,1.82561,1.14577,0.00173435,0.00173435,0.00173435
21,7389.56,1.34904,1.90885,1.23145,0.90464,0.89983,0.91565,0.60148,1.34106,1.51857,1.15013,0.00170714,0.00170714,0.00170714
22,7736.58,1.32831,1.92527,1.23024,0.96256,0.79697,0.87892,0.5651,1.45143,1.73212,1.20254,0.00167883,0.00167883,0.00167883
23,8092.95,1.40293,1.92934,1.27003,0.95033,0.86871,0.91508,0.55468,1.44982,1.60973,1.20185,0.00164948,0.00164948,0.00164948
24,8445.72,1.33665,1.81269,1.22599,0.9627,0.82653,0.92596,0.58327,1.3999,1.58699,1.15636,0.00161913,0.00161913,0.00161913
25,8798.74,1.28853,1.78869,1.19905,0.96175,0.88269,0.92331,0.60712,1.36924,1.50794,1.14229,0.00158783,0.00158783,0.00158783
26,9153.25,1.34131,1.8718,1.22748,0.92585,0.81144,0.8818,0.63897,1.11067,1.59584,1.12547,0.00155561,0.00155561,0.00155561
27,9562.65,1.37615,1.94525,1.25321,0.94568,0.86217,0.90512,0.60224,1.33615,1.51054,1.14465,0.00152255,0.00152255,0.00152255
28,9943.59,1.37449,1.88568,1.25878,0.93397,0.86813,0.90134,0.57212,1.41203,1.6708,1.15477,0.00148867,0.00148867,0.00148867
29,10369,1.27944,1.7153,1.18689,0.92477,0.88028,0.92944,0.62209,1.30875,1.46769,1.11237,0.00145405,0.00145405,0.00145405
30,10701.3,1.31134,1.74202,1.21825,0.99066,0.85448,0.9257,0.63796,1.24405,1.35954,1.1124,0.00141872,0.00141872,0.00141872
31,11037.5,1.30617,1.73871,1.20366,0.95688,0.86252,0.91603,0.62402,1.24674,1.41087,1.1066,0.00138275,0.00138275,0.00138275
32,11374.6,1.292,1.7133,1.20693,0.95729,0.85801,0.9173,0.61169,1.30752,1.65567,1.12541,0.00134618,0.00134618,0.00134618
33,11710.4,1.29389,1.66965,1.19388,0.94534,0.87386,0.9225,0.62097,1.33399,1.43693,1.11461,0.00130909,0.00130909,0.00130909
34,12048.3,1.27661,1.63873,1.18025,0.95948,0.89593,0.93372,0.60924,1.35788,1.35147,1.11905,0.00127151,0.00127151,0.00127151
35,12383.9,1.27749,1.56972,1.18741,0.97734,0.88364,0.92699,0.62793,1.26253,1.37717,1.09901,0.00123352,0.00123352,0.00123352
36,12721,1.28731,1.63572,1.1912,0.98049,0.85781,0.93604,0.63239,1.25619,1.32146,1.07409,0.00119517,0.00119517,0.00119517
37,13057.6,1.26955,1.59741,1.18771,0.97479,0.88272,0.93337,0.64006,1.21243,1.32728,1.07658,0.00115652,0.00115652,0.00115652
38,13394.6,1.28129,1.62689,1.18706,0.98794,0.86304,0.93232,0.66116,1.19678,1.31887,1.06887,0.00111763,0.00111763,0.00111763
39,13729,1.27365,1.62239,1.18545,0.97027,0.84838,0.93301,0.62524,1.31289,1.33206,1.12102,0.00107855,0.00107855,0.00107855
40,14065,1.2637,1.57493,1.18983,0.98212,0.83297,0.90795,0.61174,1.29744,1.45166,1.12482,0.00103936,0.00103936,0.00103936
41,14402.1,1.23811,1.57527,1.16147,0.93942,0.87568,0.92319,0.61816,1.27884,1.3385,1.08894,0.0010001,0.0010001,0.0010001
42,14740.3,1.21732,1.53471,1.1526,0.97193,0.83857,0.90932,0.63136,1.18972,1.42973,1.07979,0.000960844,0.000960844,0.000960844
43,15076.8,1.21882,1.49553,1.15819,0.96869,0.88527,0.93359,0.66427,1.18727,1.24775,1.05866,0.000921649,0.000921649,0.000921649
44,15413.9,1.24205,1.5467,1.1771,0.96877,0.86791,0.92258,0.64469,1.15804,1.30002,1.0473,0.000882574,0.000882574,0.000882574
45,15751.5,1.24168,1.50845,1.16029,0.99067,0.87046,0.93791,0.67732,1.16376,1.17921,1.03684,0.000843681,0.000843681,0.000843681
46,16090.1,1.21161,1.52727,1.15414,0.9617,0.90185,0.9413,0.67066,1.16512,1.15991,1.04917,0.000805029,0.000805029,0.000805029
47,16428.1,1.23492,1.48097,1.15103,0.97272,0.89116,0.94713,0.65952,1.20636,1.20431,1.04731,0.000766678,0.000766678,0.000766678
48,16765.3,1.19791,1.47362,1.15278,0.96947,0.90287,0.94656,0.6697,1.23521,1.21072,1.0632,0.000728687,0.000728687,0.000728687
49,17096.1,1.1874,1.43926,1.15065,0.94446,0.91428,0.95068,0.67017,1.17222,1.15396,1.0336,0.000691114,0.000691114,0.000691114
50,17431.5,1.18178,1.43959,1.14234,0.97227,0.9033,0.95065,0.64495,1.26669,1.15967,1.05907,0.000654018,0.000654018,0.000654018
51,17770.3,1.18695,1.43296,1.15174,0.96005,0.91271,0.94779,0.69089,1.11611,1.0912,1.02596,0.000617455,0.000617455,0.000617455
52,18109.9,1.19225,1.44259,1.13908,0.94529,0.92044,0.95009,0.72125,0.98884,1.04818,0.98587,0.000581482,0.000581482,0.000581482
53,18447.8,1.15039,1.37182,1.11718,0.95966,0.90442,0.94717,0.68384,1.1437,1.11589,1.02868,0.000546155,0.000546155,0.000546155
54,18783.3,1.14389,1.38402,1.12094,0.97835,0.88824,0.9461,0.67186,1.17864,1.10998,1.02803,0.000511528,0.000511528,0.000511528
55,19118.8,1.15046,1.34009,1.11217,0.96768,0.89801,0.944,0.7118,1.00125,1.04545,0.98577,0.000477654,0.000477654,0.000477654
56,19451.6,1.13678,1.32485,1.11458,0.98791,0.89576,0.94567,0.711,1.02863,1.05767,0.98871,0.000444585,0.000444585,0.000444585
57,19786.5,1.13367,1.36477,1.1131,0.97063,0.91428,0.95086,0.70164,1.07904,1.05821,1.00311,0.000412374,0.000412374,0.000412374
58,20123.5,1.12281,1.32616,1.11203,0.95282,0.91916,0.95125,0.71076,1.00319,1.0476,0.98508,0.000381068,0.000381068,0.000381068
59,20461.3,1.12862,1.3378,1.11906,0.98035,0.90134,0.95128,0.72266,0.99139,1.02446,0.97744,0.000350717,0.000350717,0.000350717
60,20797.4,1.12006,1.28604,1.1,0.97169,0.90567,0.9544,0.70925,1.01008,1.03656,0.98364,0.000321367,0.000321367,0.000321367
